name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
RAD1	43.0	-39.0	16.0	-999	RAD	R	depth	Sub-lobar	Insula	Brodmann area 13	Gray Matter	43.5359	-41.0434	15.618
RAD2	48.0	-40.0	16.0	-999	RAD	R	depth	Sub-lobar	Insula	Brodmann area 13	Gray Matter	48.8879	-41.8266	15.0362
RAD3	53.0	-42.0	16.0	-999	RAD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 13	Gray Matter	53.1221	-43.7894	14.9581
RAD4	59.0	-42.0	17.0	-999	RAD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 13	Gray Matter	59.2793	-44.2056	15.777
RAD5	62.0	-44.0	19.0	-999	RAD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	62.6564	-46.3526	18.0486
RAD6	60.0	-41.0	28.0	-999	RAD	R	depth	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	61.1052	-43.2184	28.2318
RAD7	61.0	-45.0	29.0	-999	RAD	R	depth	Parietal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	61.34	-47.648	29.4571
RAD8	60.0	-44.0	32.0	-999	RAD	R	depth	Parietal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	60.5259	-47.1684	32.1535
RMD1	46.0	-35.0	1.0	-999	RMD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	46.5356	-35.8363	-0.409364
RMD2	47.0	-34.0	2.0	-999	RMD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	47.8567	-35.5435	0.392848
RMD3	52.0	-35.0	4.0	-999	RMD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 22	Gray Matter	52.3513	-36.5111	2.16079
RMD4	57.0	-35.0	6.0	-999	RMD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 22	Gray Matter	57.4771	-36.7787	4.17667
RMD5	59.0	-35.0	7.0	-999	RMD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	59.5311	-36.2292	5.87984
RMD6	62.0	-35.0	9.0	-999	RMD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	62.3044	-36.6408	8.29053
RMD7	65.0	-41.0	10.0	-999	RMD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	65.423	-42.7723	8.48227
RMD8	65.0	-40.0	10.0	-999	RMD	R	depth	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	65.3643	-41.6648	8.17598
RPD1	38.0	-61.0	0.0	-999	RPD	R	depth	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 37	Gray Matter	38.5879	-63.0956	-3.38302
RPD2	40.0	-62.0	1.0	-999	RPD	R	depth	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 37	Gray Matter	39.9678	-63.9103	-2.27447
RPD3	42.0	-64.0	4.0	-999	RPD	R	depth	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 37	Gray Matter	42.3133	-65.9087	1.19416
RPD4	44.0	-65.0	7.0	-999	RPD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 37	Gray Matter	43.969	-67.4998	4.10847
RPD5	45.0	-66.0	9.0	-999	RPD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 37	Gray Matter	45.4937	-68.0938	6.21667
RPD6	47.0	-67.0	14.0	-999	RPD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 39	Gray Matter	47.4683	-69.7972	11.2834
RPD7	49.0	-67.0	17.0	-999	RPD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 39	Gray Matter	49.2102	-70.0601	14.8909
RPD8	49.0	-68.0	19.0	-999	RPD	R	depth	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 39	Gray Matter	49.5585	-70.7262	17.1966
RFA1	46.0	50.0	-17.0	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 11	Gray Matter	45.9848	52.3784	-17.2992
RFA2	53.0	44.0	-13.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	53.9308	46.3848	-12.9937
RFA3	56.0	36.0	-8.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	56.7008	37.8522	-7.18731
RFA4	58.0	29.0	-2.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	59.0277	29.5042	-0.282655
RFA5	59.0	21.0	5.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter	60.0764	21.5276	6.16647
RFA6	61.0	14.0	13.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 44	Gray Matter	61.4442	13.4387	14.7679
