name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
LAT1	-16.0	-18.0	-22.0	-999	LAT	L	strip	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 28	Gray Matter	-15.8206	-17.2469	-27.565
LAT2	-14.0	-9.0	-27.0	-999	LAT	L	strip	Limbic Lobe	Uncus	Brodmann area 28	Gray Matter	-14.168	-7.59214	-32.6136
LAT3	-17.0	1.0	-31.0	-999	LAT	L	strip	Limbic Lobe	Uncus	Brodmann area 36	Gray Matter	-16.761	2.81233	-36.3596
LAT4	-21.0	12.0	-32.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-21.4357	13.5746	-37.7526
LAT5	-28.0	19.0	-32.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-28.5988	21.1213	-37.032
LAT6	-38.0	20.0	-29.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-38.1208	22.5063	-33.2715
LAT7	-45.0	14.0	-24.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-45.1863	15.8574	-27.8675
LAT8	-50.0	6.0	-19.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-50.0541	7.06693	-22.6724
LTG1	-54.0	-57.0	30.0	-999	LTG	L	grid	Parietal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	-54.8618	-60.0672	29.5595
LTG2	-58.0	-47.0	27.0	-999	LTG	L	grid	Temporal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	-59.0145	-49.8289	26.9796
LTG3	-59.0	-37.0	24.0	-999	LTG	L	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	-59.4639	-39.2294	24.326
LTG4	-59.0	-25.0	21.0	-999	LTG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 40	Gray Matter	-59.9744	-26.8689	21.7973
LTG5	-57.0	-16.0	18.0	-999	LTG	L	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 43	Gray Matter	-57.7377	-17.1853	19.0075
LTG6	-56.0	-5.0	14.0	-999	LTG	L	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 43	Gray Matter	-56.0983	-6.36805	15.177
LTG7	-55.0	-61.0	21.0	-999	LTG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 39	Gray Matter	-56.045	-63.59	19.1191
LTG8	-60.0	-51.0	18.0	-999	LTG	L	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	-60.1978	-53.3517	16.5392
