onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	experiment	session	subject
0.0	0.0	188038	B	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
0.0	614.524	188038	SESS_START	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
614.524	0.016	802541	TRIAL	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
614.54	1.6	802557	ORIENT	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
617.394	1.6	805411	WORD	n/a	wordpools/wordpool_EN.txt	WOOD	1	1	pyFR	2	TJ024
620.1	1.6	808117	WORD	n/a	wordpools/wordpool_EN.txt	DAD	2	1	pyFR	2	TJ024
622.655	1.6	810672	WORD	n/a	wordpools/wordpool_EN.txt	SLUSH	3	1	pyFR	2	TJ024
625.242	1.6	813258	WORD	n/a	wordpools/wordpool_EN.txt	PEAR	4	1	pyFR	2	TJ024
627.731	1.6	815747	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	5	1	pyFR	2	TJ024
630.234	1.6	818250	WORD	n/a	wordpools/wordpool_EN.txt	BRANCH	6	1	pyFR	2	TJ024
632.707	1.6	820723	WORD	n/a	wordpools/wordpool_EN.txt	MOTH	7	1	pyFR	2	TJ024
635.512	1.6	823528	WORD	n/a	wordpools/wordpool_EN.txt	JAR	8	1	pyFR	2	TJ024
638.1	1.6	826116	WORD	n/a	wordpools/wordpool_EN.txt	MUG	9	1	pyFR	2	TJ024
640.771	1.6	828787	WORD	n/a	wordpools/wordpool_EN.txt	SEED	10	1	pyFR	2	TJ024
643.375	1.6	831391	WORD	n/a	wordpools/wordpool_EN.txt	BOY	11	1	pyFR	2	TJ024
645.881	1.6	833897	WORD	n/a	wordpools/wordpool_EN.txt	VEST	12	1	pyFR	2	TJ024
648.636	1.6	836652	WORD	n/a	wordpools/wordpool_EN.txt	DIME	13	1	pyFR	2	TJ024
651.223	1.6	839239	WORD	n/a	wordpools/wordpool_EN.txt	ARM	14	1	pyFR	2	TJ024
653.912	1.6	841927	WORD	n/a	wordpools/wordpool_EN.txt	BREAD	15	1	pyFR	2	TJ024
677.64	3.781	865655	REC_START	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
681.421	0.829	869436	REC_WORD	3.781	n/a	WOOD	-999	1	pyFR	2	TJ024
682.25	0.898	870264	REC_WORD	4.61	n/a	DAD	-999	1	pyFR	2	TJ024
683.148	0.598	871162	REC_WORD	5.508	n/a	PEAR	-999	1	pyFR	2	TJ024
683.746	0.797	871760	REC_WORD	6.106	n/a	TREE	-999	1	pyFR	2	TJ024
684.543	6.624	872557	REC_WORD	6.903	n/a	ARM	-999	1	pyFR	2	TJ024
691.167	7.152	879181	REC_WORD	13.527	n/a	BRANCH	-999	1	pyFR	2	TJ024
698.319	9.838	886333	REC_WORD	20.679	n/a	SHEET	-999	1	pyFR	2	TJ024
708.157	7.813	896171	REC_WORD	30.517	n/a	MOTH	-999	1	pyFR	2	TJ024
715.97	9.725	903983	REC_WORD	38.33	n/a	SNOW	-999	1	pyFR	2	TJ024
725.695	0.016	913708	TRIAL	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
725.711	1.6	913724	ORIENT	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
728.448	1.6	916461	WORD	n/a	wordpools/wordpool_EN.txt	SEAL	1	2	pyFR	2	TJ024
731.22	1.6	919233	WORD	n/a	wordpools/wordpool_EN.txt	LAWN	2	2	pyFR	2	TJ024
733.726	1.6	921739	WORD	n/a	wordpools/wordpool_EN.txt	INK	3	2	pyFR	2	TJ024
736.379	1.6	924392	WORD	n/a	wordpools/wordpool_EN.txt	PEA	4	2	pyFR	2	TJ024
738.952	1.6	926965	WORD	n/a	wordpools/wordpool_EN.txt	CLOWN	5	2	pyFR	2	TJ024
741.623	1.6	929635	WORD	n/a	wordpools/wordpool_EN.txt	HOOK	6	2	pyFR	2	TJ024
744.411	1.6	932423	WORD	n/a	wordpools/wordpool_EN.txt	PASTE	7	2	pyFR	2	TJ024
747.199	1.6	935211	WORD	n/a	wordpools/wordpool_EN.txt	CALF	8	2	pyFR	2	TJ024
749.655	1.6	937667	WORD	n/a	wordpools/wordpool_EN.txt	HILL	9	2	pyFR	2	TJ024
752.242	1.6	940254	WORD	n/a	wordpools/wordpool_EN.txt	MOUSE	10	2	pyFR	2	TJ024
754.848	1.6	942860	WORD	n/a	wordpools/wordpool_EN.txt	STORM	11	2	pyFR	2	TJ024
757.285	1.6	945297	WORD	n/a	wordpools/wordpool_EN.txt	FILM	12	2	pyFR	2	TJ024
759.757	1.6	947769	WORD	n/a	wordpools/wordpool_EN.txt	KITE	13	2	pyFR	2	TJ024
762.21	1.6	950222	WORD	n/a	wordpools/wordpool_EN.txt	SOCK	14	2	pyFR	2	TJ024
764.966	1.6	952978	WORD	n/a	wordpools/wordpool_EN.txt	CUP	15	2	pyFR	2	TJ024
788.627	3.987	976638	REC_START	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
792.614	3.273	980625	REC_WORD	3.987	n/a	SEAL	-999	2	pyFR	2	TJ024
795.887	11.168	983898	REC_WORD	7.26	n/a	BRANCH	-999	2	pyFR	2	TJ024
807.055	2.549	995065	REC_WORD	18.428	n/a	WOOD	-999	2	pyFR	2	TJ024
809.604	3.651	997614	REC_WORD	20.977	n/a	CUP	-999	2	pyFR	2	TJ024
813.255	17.86	1001265	REC_WORD	24.628	n/a	PASTE	-999	2	pyFR	2	TJ024
831.115	5.182	1019124	REC_WORD	42.488	n/a	MOTH	-999	2	pyFR	2	TJ024
836.297	0.016	1024306	TRIAL	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
836.313	1.6	1024322	ORIENT	n/a	n/a	n/a	-999	-999	pyFR	2	TJ024
839.168	1.6	1027177	WORD	n/a	wordpools/wordpool_EN.txt	TREE	1	3	pyFR	2	TJ024
841.741	1.6	1029750	WORD	n/a	wordpools/wordpool_EN.txt	FAN	2	3	pyFR	2	TJ024
844.546	1.6	1032555	WORD	n/a	wordpools/wordpool_EN.txt	BROOM	3	3	pyFR	2	TJ024
847.2	1.6	1035209	WORD	n/a	wordpools/wordpool_EN.txt	BAT	4	3	pyFR	2	TJ024
849.939	1.6	1037948	WORD	n/a	wordpools/wordpool_EN.txt	ANT	5	3	pyFR	2	TJ024
852.393	1.6	1040402	WORD	n/a	wordpools/wordpool_EN.txt	ELF	6	3	pyFR	2	TJ024
854.865	1.6	1042874	WORD	n/a	wordpools/wordpool_EN.txt	TENT	7	3	pyFR	2	TJ024
857.485	1.6	1045493	WORD	n/a	wordpools/wordpool_EN.txt	TOAST	8	3	pyFR	2	TJ024
860.041	1.6	1048049	WORD	n/a	wordpools/wordpool_EN.txt	DUCK	9	3	pyFR	2	TJ024
862.829	1.6	1050837	WORD	n/a	wordpools/wordpool_EN.txt	SNAIL	10	3	pyFR	2	TJ024
865.618	1.6	1053626	WORD	n/a	wordpools/wordpool_EN.txt	BRIDGE	11	3	pyFR	2	TJ024
868.389	1.6	1056397	WORD	n/a	wordpools/wordpool_EN.txt	STEAK	12	3	pyFR	2	TJ024
871.061	1.6	1059069	WORD	n/a	wordpools/wordpool_EN.txt	FACE	13	3	pyFR	2	TJ024
873.866	1.6	1061874	WORD	n/a	wordpools/wordpool_EN.txt	CAR	14	3	pyFR	2	TJ024
