onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	list	experiment	session	subject
0.0	0.001	1410253	B	n/a	n/a	n/a	-999	-999	pyFR	2	TJ027
0.001	74.26	1410254	SESS_START	n/a	n/a	n/a	-999	-999	pyFR	2	TJ027
74.261	0.016	1484511	TRIAL	n/a	n/a	n/a	-999	-999	pyFR	2	TJ027
74.277	2.639	1484527	ORIENT	n/a	n/a	n/a	-999	-999	pyFR	2	TJ027
76.916	2.705	1487166	WORD	n/a	wordpools/wordpool_EN.txt	CAT	1	1	pyFR	2	TJ027
79.621	2.604	1489871	WORD	n/a	wordpools/wordpool_EN.txt	SLIME	2	1	pyFR	2	TJ027
82.225	2.805	1492475	WORD	n/a	wordpools/wordpool_EN.txt	THREAD	3	1	pyFR	2	TJ027
85.03	2.556	1495280	WORD	n/a	wordpools/wordpool_EN.txt	SHIP	4	1	pyFR	2	TJ027
87.586	2.67	1497836	WORD	n/a	wordpools/wordpool_EN.txt	CASH	5	1	pyFR	2	TJ027
90.256	2.606	1500506	WORD	n/a	wordpools/wordpool_EN.txt	SNAKE	6	1	pyFR	2	TJ027
92.862	2.554	1503112	WORD	n/a	wordpools/wordpool_EN.txt	EAR	7	1	pyFR	2	TJ027
95.416	2.605	1505665	WORD	n/a	wordpools/wordpool_EN.txt	TEETH	8	1	pyFR	2	TJ027
98.021	2.606	1508270	WORD	n/a	wordpools/wordpool_EN.txt	CANE	9	1	pyFR	2	TJ027
100.627	2.637	1510876	WORD	n/a	wordpools/wordpool_EN.txt	SWORD	10	1	pyFR	2	TJ027
103.264	2.522	1513513	WORD	n/a	wordpools/wordpool_EN.txt	STORM	11	1	pyFR	2	TJ027
105.786	2.687	1516035	WORD	n/a	wordpools/wordpool_EN.txt	BLOOM	12	1	pyFR	2	TJ027
108.473	2.605	1518722	WORD	n/a	wordpools/wordpool_EN.txt	SPARK	13	1	pyFR	2	TJ027
111.078	2.421	1521327	WORD	n/a	wordpools/wordpool_EN.txt	GRAPE	14	1	pyFR	2	TJ027
113.499	24.246	1523748	WORD	n/a	wordpools/wordpool_EN.txt	CALF	15	1	pyFR	2	TJ027
137.745	0.0	1547993	REC_START	n/a	n/a	n/a	-999	-999	pyFR	2	TJ027
137.745	1.0	1547993	REC_WORD_VV	0.0	n/a	VV	-999	1	pyFR	2	TJ027
138.745	1.0	1548993	REC_WORD_VV	1.0	n/a	VV	-999	1	pyFR	2	TJ027
139.745	2.183	1549993	REC_WORD_VV	2.0	n/a	VV	-999	1	pyFR	2	TJ027
141.928	0.558	1552176	REC_WORD	4.183	n/a	CAT	-999	1	pyFR	2	TJ027
142.486	1.393	1552734	REC_WORD	4.741	n/a	SWORD	-999	1	pyFR	2	TJ027
143.879	2.252	1554127	REC_WORD	6.134	n/a	THREAD	-999	1	pyFR	2	TJ027
146.131	3.431	1556378	REC_WORD	8.386	n/a	CASH	-999	1	pyFR	2	TJ027
149.562	6.498	1559809	REC_WORD	11.817	n/a	SHIP	-999	1	pyFR	2	TJ027
156.06	52.916	1566307	REC_WORD_VV	18.315	n/a	VV	-999	1	pyFR	2	TJ027
