name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
LAH1	-23.0	-14.0	-19.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 28	Gray Matter	-23.4252	-13.7066	-23.4195
LAH2	-29.0	-14.0	-20.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	-28.8269	-13.8454	-24.4938
LAH4	-38.0	-16.0	-21.0	-999	LAH	L	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	-38.5316	-15.1701	-25.7642
LAH6	-49.0	-16.0	-21.0	-999	LAH	L	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	-49.9105	-15.701	-25.9772
LPH1	-24.0	-19.0	-17.0	-999	LPH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 35	Gray Matter	-24.3916	-18.9607	-21.5826
LPH2	-29.0	-19.0	-18.0	-999	LPH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	-29.7934	-19.0995	-22.6569
LPH4	-40.0	-19.0	-19.0	-999	LPH	L	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	-40.0952	-18.425	-24.1939
LPH6	-50.0	-19.0	-20.0	-999	LPH	L	depth	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	-50.9324	-18.9307	-24.3967
LAT1	-22.0	16.0	-24.0	-999	LAT	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	-22.0864	17.3656	-28.141
LAT2	-24.0	18.0	-33.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-24.1492	20.3727	-37.6804
LAT3	-32.0	15.0	-36.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-32.6644	17.4166	-41.5928
LAT4	-40.0	9.0	-35.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-40.618	11.0213	-41.462
LAT5	-48.0	3.0	-32.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-48.1044	4.74382	-37.8585
LAT6	-53.0	-3.0	-28.0	-999	LAT	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-53.4244	-2.03845	-33.2991
LAT7	-59.0	-11.0	-24.0	-999	LAT	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	-59.7961	-9.85494	-28.8749
LAT8	-66.0	-17.0	-20.0	-999	LAT	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-66.1998	-16.6877	-24.3357
LSTA1	-18.0	10.0	-28.0	-999	LSTA	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-18.5852	12.0147	-32.1753
LSTA2	-18.0	4.0	-33.0	-999	LSTA	L	strip	Limbic Lobe	Uncus	Brodmann area 38	Gray Matter	-18.2369	5.37891	-39.3614
LSTA3	-23.0	-3.0	-37.0	-999	LSTA	L	strip	Limbic Lobe	Uncus	Brodmann area 20	Gray Matter	-23.3567	-1.24604	-44.6458
LSTA4	-33.0	-8.0	-38.0	-999	LSTA	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-32.9509	-6.61942	-45.4034
LSTA5	-41.0	-11.0	-34.0	-999	LSTA	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-41.0907	-9.47936	-41.4075
LSTA6	-50.0	-13.0	-30.0	-999	LSTA	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-50.9047	-11.5456	-36.3542
LSTA7	-58.0	-16.0	-26.0	-999	LSTA	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	-58.4709	-15.364	-32.4632
LSTA8	-67.0	-16.0	-20.0	-999	LSTA	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-67.3154	-15.7547	-24.241
LSTB1	-11.0	-19.0	-18.0	-999	LSTB	L	strip	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 28	Gray Matter	-10.8285	-18.2145	-22.3019
LSTB2	-20.0	-21.0	-22.0	-999	LSTB	L	strip	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 35	Gray Matter	-19.9006	-20.0982	-27.0823
LSTB4	-39.0	-21.0	-28.0	-999	LSTB	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-39.2736	-20.7016	-34.3151
LSTB6	-59.0	-14.0	-26.0	-999	LSTB	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	-59.6351	-13.5613	-31.2807
LSTC1	-11.0	-56.0	2.0	-999	LSTC	L	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 19	Gray Matter	-11.1795	-57.6836	-0.795657
LSTC3	-21.0	-46.0	-9.0	-999	LSTC	L	strip	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 37	Gray Matter	-21.5334	-47.165	-14.0027
LSTC5	-35.0	-36.0	-18.0	-999	LSTC	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	-35.7869	-35.7472	-23.7031
LSTC7	-50.0	-24.0	-25.0	-999	LSTC	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	-50.6478	-23.5992	-31.353
LSTD1	-41.0	-32.0	-18.0	-999	LSTD	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 36	Gray Matter	-41.8747	-32.0907	-23.3547
LSTD2	-48.0	-39.0	-21.0	-999	LSTD	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 36	Gray Matter	-48.1119	-38.9944	-26.7136
LSTD4	-60.0	-53.0	-16.0	-999	LSTD	L	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-60.8041	-53.6792	-21.6993
LSTD6	-62.0	-61.0	0.0	-999	LSTD	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-63.0851	-62.9477	-3.08717
LSTE1	-22.0	-89.0	-12.0	-999	LSTE	L	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 18	Gray Matter	-22.2991	-90.5468	-19.1031
LSTE2	-32.0	-90.0	-11.0	-999	LSTE	L	strip	Occipital Lobe	Inferior Occipital Gyrus	Brodmann area 18	Gray Matter	-32.0375	-92.0996	-18.4278
LSTE3	-41.0	-89.0	-7.0	-999	LSTE	L	strip	Occipital Lobe	Inferior Occipital Gyrus	Brodmann area 18	Gray Matter	-41.3884	-91.0755	-13.9922
LSTE4	-48.0	-85.0	-2.0	-999	LSTE	L	strip	Occipital Lobe	Inferior Occipital Gyrus	Brodmann area 18	Gray Matter	-48.1593	-87.2023	-7.21521
LSTE5	-52.0	-79.0	3.0	-999	LSTE	L	strip	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 19	Gray Matter	-52.818	-81.2035	-0.65406
LSTE6	-55.0	-72.0	10.0	-999	LSTE	L	strip	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 19	Gray Matter	-55.3338	-74.6689	6.49157
LSTF1	0.0	-100.0	0.0	-999	LSTF	L	strip	Occipital Lobe	Cuneus	Brodmann area 18	Gray Matter	0.0711502	-103.46	-6.01795
LSTF2	-10.0	-104.0	0.0	-999	LSTF	L	strip	Occipital Lobe	Cuneus	Brodmann area 18	Gray Matter	-10.1285	-106.891	-6.55563
LSTF3	-20.0	-103.0	0.0	-999	LSTF	L	strip	Occipital Lobe	Cuneus	Brodmann area 18	Gray Matter	-19.9306	-106.477	-5.65031
LSTF4	-30.0	-100.0	3.0	-999	LSTF	L	strip	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 18	Gray Matter	-29.8703	-103.397	-1.96782
LSTF5	-38.0	-96.0	5.0	-999	LSTF	L	strip	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 18	Gray Matter	-38.2069	-98.5941	0.458287
LSTF6	-45.0	-88.0	8.0	-999	LSTF	L	strip	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 19	Gray Matter	-45.0061	-91.3135	3.68878
LSTF7	-51.0	-81.0	11.0	-999	LSTF	L	strip	Occipital Lobe	Middle Occipital Gyrus	Brodmann area 19	Gray Matter	-51.8137	-84.09	7.40575
LO1	-5.0	-76.0	68.0	-999	LO	L	strip	Parietal Lobe	Superior Parietal Lobule	Brodmann area 7	Gray Matter	-5.40506	-82.1102	69.9083
LO2	-13.0	-80.0	64.0	-999	LO	L	strip	Parietal Lobe	Superior Parietal Lobule	Brodmann area 7	Gray Matter	-13.3297	-85.9107	64.9182
LO3	-22.0	-82.0	58.0	-999	LO	L	strip	Parietal Lobe	Precuneus	Brodmann area 7	Gray Matter	-21.8263	-87.5409	58.2022
LO4	-30.0	-83.0	51.0	-999	LO	L	strip	Parietal Lobe	Superior Parietal Lobule	Brodmann area 7	Gray Matter	-30.3463	-88.1305	51.1148
LO5	-39.0	-83.0	45.0	-999	LO	L	strip	Parietal Lobe	Precuneus	Brodmann area 19	Gray Matter	-38.9067	-87.7934	44.6288
LO6	-44.0	-81.0	37.0	-999	LO	L	strip	Occipital Lobe	Superior Occipital Gyrus	Brodmann area 19	Gray Matter	-44.7794	-85.0774	35.9913
LO7	-49.0	-78.0	29.0	-999	LO	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 39	Gray Matter	-49.0584	-81.3019	27.4992
LO8	-55.0	-75.0	22.0	-999	LO	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 19	Gray Matter	-55.4972	-78.1764	19.3955
