name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
RFA1	2.0	65.0	-17.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 11	Gray Matter	1.91585	67.6266	-16.2709
RFA2	7.0	69.0	-9.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter	7.5513	71.3299	-6.08714
RFA3	15.0	69.0	-1.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter	15.3058	71.2677	2.6382
RFA4	24.0	67.0	4.0	-999	RFA	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter	23.8723	68.248	8.46633
RFA5	32.0	60.0	7.0	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter	32.3643	61.6477	10.8672
RFA6	38.0	52.0	6.0	-999	RFA	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter	38.5273	52.9205	9.82318
RFA7	43.0	42.0	4.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter	43.299	43.08	7.08669
RFA8	48.0	33.0	3.0	-999	RFA	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter	48.5037	33.7624	4.94056
RFB1	3.0	38.0	25.0	-999	RFB	R	strip	Limbic Lobe	Anterior Cingulate	Brodmann area 32	Gray Matter	2.58762	37.973	29.5056
RFB2	1.0	49.0	29.0	-999	RFB	L	strip	Frontal Lobe	Medial Frontal Gyrus	Brodmann area 9	Gray Matter	1.18484	48.8394	34.1873
RFB3	5.0	57.0	32.0	-999	RFB	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 9	Gray Matter	4.96201	57.519	37.718
RFB4	15.0	60.0	31.0	-999	RFB	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 9	Gray Matter	14.7514	60.6311	36.5504
RFB5	25.0	58.0	27.0	-999	RFB	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 9	Gray Matter	25.0719	57.821	32.7075
RFB6	32.0	52.0	21.0	-999	RFB	R	strip	Frontal Lobe	Superior Frontal Gyrus	Brodmann area 10	Gray Matter	32.7742	52.2961	25.9736
RFB7	37.0	45.0	15.0	-999	RFB	R	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter	37.7971	45.3251	18.2999
RFB8	44.0	37.0	9.0	-999	RFB	R	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter	43.9629	38.0337	11.5716
