name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
LF1	-36.0	65.0	-8.0	-999	LF	L	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter	-36.2473	67.0554	-5.34177
LF2	-42.0	56.0	-5.0	-999	LF	L	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 10	Gray Matter	-42.252	58.1689	-2.66297
LF3	-47.0	48.0	-1.0	-999	LF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 10	Gray Matter	-47.2108	49.4013	1.5125
LF4	-50.0	39.0	3.0	-999	LF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter	-50.6927	40.0458	5.70693
LF5	-52.0	30.0	9.0	-999	LF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 46	Gray Matter	-52.1533	30.253	11.4362
LF6	-53.0	21.0	14.0	-999	LF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter	-53.0997	20.8602	16.5587
LF7	-56.0	12.0	19.0	-999	LF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 45	Gray Matter	-56.1076	10.9803	20.8104
LF8	-58.0	2.0	24.0	-999	LF	L	strip	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	-58.627	0.636937	25.6307
LOF1	19.0	31.0	-20.0	-999	LOF	R	strip	Frontal Lobe	Orbital Gyrus	Brodmann area 47	Gray Matter	18.7903	32.6073	-22.0181
LOF2	7.0	29.0	-21.0	-999	LOF	R	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter	7.55183	30.5402	-23.7768
LOF3	-4.0	27.0	-22.0	-999	LOF	L	strip	Frontal Lobe	Rectal Gyrus	Brodmann area 11	Gray Matter	-3.61612	29.1483	-24.0771
LOF4	-13.0	26.0	-20.0	-999	LOF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 11	Gray Matter	-13.2496	27.4119	-22.3123
LOF5	-24.0	24.0	-18.0	-999	LOF	L	strip	Frontal Lobe	Middle Frontal Gyrus	Brodmann area 11	Gray Matter	-24.3582	25.8928	-19.4674
LOF6	-35.0	24.0	-14.0	-999	LOF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	-34.9093	24.9562	-15.6946
LOF7	-43.0	24.0	-9.0	-999	LOF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	-43.3411	24.7501	-9.00481
LOF8	-49.0	26.0	-1.0	-999	LOF	L	strip	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	-49.0705	26.7205	0.354381
