name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
RAMY1	25.0	-1.0	-19.0	-999	RAMY	R	depth	Limbic Lobe	Uncus	Amygdala	Gray Matter	25.2172	-0.19584	-22.8367
RAMY2	29.0	-5.0	-18.0	-999	RAMY	R	depth	Limbic Lobe	Parahippocampal Gyrus	Amygdala	Gray Matter	29.704	-3.88756	-22.0113
RAMY3	34.0	-7.0	-17.0	-999	RAMY	R	depth	Limbic Lobe	Parahippocampal Gyrus	Amygdala	Gray Matter	34.1688	-6.33674	-20.8478
RAMY4	37.0	-10.0	-16.0	-999	RAMY	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	37.7973	-9.62037	-19.8419
RAMY5	42.0	-14.0	-15.0	-999	RAMY	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	42.2842	-13.3121	-19.0165
RAMY6	46.0	-17.0	-14.0	-999	RAMY	R	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	46.8287	-17.1401	-17.5024
RH1	26.0	-14.0	-14.0	-999	RH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	26.1156	-13.428	-17.7263
RH2	30.0	-16.0	-14.0	-999	RH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	30.5226	-15.7409	-17.2517
RH3	36.0	-18.0	-13.0	-999	RH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	36.2062	-18.0447	-16.879
RH4	40.0	-21.0	-12.0	-999	RH	R	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 36	Gray Matter	40.6709	-20.4939	-15.7154
RH5	45.0	-22.0	-12.0	-999	RH	R	depth	Temporal Lobe	Fusiform Gyrus	Brodmann area 20	Gray Matter	45.0056	-21.8422	-15.7043
RH6	50.0	-25.0	-11.0	-999	RH	R	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	50.8266	-25.661	-14.2919
RAT2	35.0	19.0	-31.0	-999	RAT	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	35.4302	20.9696	-35.4735
RAT3	43.0	14.0	-32.0	-999	RAT	R	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	43.2351	15.918	-36.7486
RAT4	50.0	7.0	-29.0	-999	RAT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	50.1967	8.24682	-33.5504
RAT5	57.0	-1.0	-24.0	-999	RAT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	57.2662	0.717254	-28.8616
RAT6	63.0	-8.0	-20.0	-999	RAT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	63.427	-6.68212	-24.7939
RAT7	65.0	-16.0	-15.0	-999	RAT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	65.528	-15.7634	-18.6581
RAT8	64.0	-26.0	-11.0	-999	RAT	R	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	64.9254	-25.6966	-14.7235
RST2	13.0	-55.0	-5.0	-999	RST	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 19	Gray Matter	12.9904	-56.0137	-9.18915
RST3	20.0	-52.0	-11.0	-999	RST	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter	20.0358	-52.5254	-16.1256
RST4	29.0	-50.0	-17.0	-999	RST	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter	29.2885	-50.4006	-22.8811
RST5	38.0	-47.0	-21.0	-999	RST	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter	38.6344	-47.3057	-27.9206
RST6	48.0	-45.0	-24.0	-999	RST	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 36	Gray Matter	48.1532	-44.6196	-30.8935
RST7	58.0	-42.0	-21.0	-999	RST	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	58.111	-41.781	-28.017
RPT2	9.0	-75.0	-7.0	-999	RPT	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter	9.27002	-76.748	-12.3065
RPT3	18.0	-71.0	-10.0	-999	RPT	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter	18.6514	-72.5469	-16.319
RPT4	28.0	-69.0	-12.0	-999	RPT	R	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 18	Gray Matter	28.2278	-69.9971	-18.603
RPT5	38.0	-65.0	-15.0	-999	RPT	R	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter	38.5754	-66.0623	-21.3055
RPT6	48.0	-62.0	-15.0	-999	RPT	R	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter	48.2524	-62.9566	-21.9863
RPT7	57.0	-56.0	-13.0	-999	RPT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	57.2425	-56.6743	-18.829
RPT8	62.0	-49.0	-9.0	-999	RPT	R	strip	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 37	Gray Matter	62.5687	-50.4141	-13.1867
LAH1	-27.0	-11.0	-22.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	-26.9617	-10.2468	-27.1365
LAH2	-31.0	-13.0	-21.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	-31.4324	-12.76	-25.2599
LAH3	-35.0	-16.0	-18.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Hippocampus	Gray Matter	-35.362	-15.5427	-22.0396
LAH4	-38.0	-18.0	-16.0	-999	LAH	L	depth	Temporal Lobe	Sub-Gyral	Brodmann area 20	Gray Matter	-38.1307	-18.0437	-20.2989
LAH5	-42.0	-21.0	-14.0	-999	LAH	L	depth	Limbic Lobe	Parahippocampal Gyrus	Brodmann area 36	Gray Matter	-42.6013	-20.557	-18.4223
LAH6	-47.0	-24.0	-13.0	-999	LAH	L	depth	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	-47.4751	-24.3157	-16.8501
LAT2	-17.0	4.0	-30.0	-999	LAT	L	strip	Limbic Lobe	Uncus	Brodmann area 28	Gray Matter	-17.4977	6.09175	-35.1749
LAT3	-24.0	12.0	-30.0	-999	LAT	L	strip	Limbic Lobe	Uncus	Brodmann area 38	Gray Matter	-24.2361	13.6322	-35.5048
LAT4	-33.0	17.0	-29.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-33.2673	18.9526	-33.3264
LAT5	-43.0	16.0	-27.0	-999	LAT	L	strip	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	-43.7745	17.7754	-31.3251
LAT6	-51.0	9.0	-25.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-51.027	10.4123	-29.0732
LAT7	-56.0	1.0	-22.0	-999	LAT	L	strip	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	-56.9307	2.09371	-26.4596
LST2	-13.0	-57.0	-2.0	-999	LST	L	strip	Occipital Lobe	Lingual Gyrus	Brodmann area 19	Gray Matter	-12.8123	-58.5432	-6.30384
LST3	-20.0	-55.0	-9.0	-999	LST	L	strip	Occipital Lobe	Fusiform Gyrus	Brodmann area 19	Gray Matter	-19.9588	-55.9893	-14.5247
LST4	-28.0	-52.0	-16.0	-999	LST	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter	-28.3891	-53.0304	-22.531
LST5	-37.0	-49.0	-21.0	-999	LST	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 37	Gray Matter	-37.5122	-49.658	-28.1773
LST6	-46.0	-47.0	-24.0	-999	LST	L	strip	Temporal Lobe	Fusiform Gyrus	Brodmann area 36	Gray Matter	-46.8302	-46.8336	-31.034
