name	x	y	z	size	group	hemisphere	type	lobe	region1	region2	gray_white	mni.x	mni.y	mni.z
RG1	70.0	-11.0	-29.0	-999	RG	R	grid	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	70.4574	-10.3497	-34.9632
RG2	73.0	-18.0	-21.0	-999	RG	R	grid	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 20	Gray Matter	73.4346	-17.7337	-25.556
RG3	74.0	-23.0	-14.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	75.0309	-23.4822	-17.7369
RG4	75.0	-30.0	-6.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	76.113	-30.6818	-9.39724
RG5	77.0	-36.0	1.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 22	Gray Matter	77.7519	-37.3985	-1.27768
RG6	77.0	-43.0	9.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	78.256	-44.5972	7.1319
RG7	76.0	-49.0	16.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	76.2657	-51.1263	14.3935
RG8	72.0	-55.0	23.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 39	Gray Matter	73.1408	-58.1375	21.9451
RG9	69.0	-4.0	-22.0	-999	RG	R	grid	Temporal Lobe	Inferior Temporal Gyrus	Brodmann area 21	Gray Matter	69.767	-2.78013	-26.1121
RG10	71.0	-9.0	-15.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	71.9625	-9.01366	-18.2127
RG11	73.0	-16.0	-8.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	73.6014	-15.7303	-10.0931
RG12	75.0	-22.0	0.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	75.2616	-22.931	-1.82337
RG13	76.0	-29.0	7.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 22	Gray Matter	76.3437	-30.1307	6.51632
RG14	77.0	-35.0	15.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	77.4046	-36.8463	14.7058
RG15	74.0	-42.0	24.0	-999	RG	R	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	75.0185	-44.0399	23.4648
RG16	72.0	-48.0	31.0	-999	RG	R	grid	Parietal Lobe	Supramarginal Gyrus	Brodmann area 40	Gray Matter	72.4502	-50.568	30.7962
RG17	65.0	4.0	-15.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	65.4687	4.49279	-17.9686
RG18	67.0	-3.0	-8.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	67.6856	-2.22487	-9.91898
RG19	69.0	-9.0	-1.0	-999	RG	R	grid	Temporal Lobe	Middle Temporal Gyrus	Brodmann area 21	Gray Matter	69.9024	-8.94256	-1.86932
RG20	70.0	-15.0	7.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 41_42	Gray Matter	70.9633	-15.6581	6.3201
RG21	71.0	-21.0	15.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 41_42	Gray Matter	72.0454	-22.8578	14.6598
RG22	74.0	-27.0	23.0	-999	RG	R	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	74.4019	-29.2726	23.8365
RG23	73.0	-34.0	30.0	-999	RG	R	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	73.589	-36.288	31.1085
RG24	69.0	-40.0	38.0	-999	RG	R	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	69.2867	-42.813	38.6497
RG25	59.0	10.0	-9.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 38	Gray Matter	59.3393	10.4978	-10.4421
RG26	62.0	4.0	-2.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	62.8306	4.56497	-1.55542
RG27	65.0	-1.0	6.0	-999	RG	R	grid	Temporal Lobe	Superior Temporal Gyrus	Brodmann area 22	Gray Matter	65.5828	-1.18548	6.12394
RG28	67.0	-7.0	14.0	-999	RG	R	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 43	Gray Matter	67.821	-8.38721	14.3238
RG29	68.0	-14.0	22.0	-999	RG	R	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	68.9032	-15.587	22.6634
RG30	71.0	-20.0	30.0	-999	RG	R	grid	Parietal Lobe	Postcentral Gyrus	Brodmann area 1_2_3_5	Gray Matter	71.2811	-22.4859	31.9904
RG31	70.0	-26.0	39.0	-999	RG	R	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	70.6078	-29.1984	40.3895
RG32	67.0	-32.0	46.0	-999	RG	R	grid	Parietal Lobe	Inferior Parietal Lobule	Brodmann area 40	Gray Matter	67.4614	-35.7255	47.7909
RG33	57.0	18.0	-2.0	-999	RG	R	grid	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 47	Gray Matter	58.0495	18.5524	-1.6713
RG34	60.0	12.0	5.0	-999	RG	R	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 44	Gray Matter	60.8231	12.3179	6.15828
RG35	63.0	6.0	14.0	-999	RG	R	grid	Frontal Lobe	Inferior Frontal Gyrus	Brodmann area 44	Gray Matter	63.1796	5.90305	15.335
RG36	66.0	0.0	21.0	-999	RG	R	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	66.5525	-0.816712	23.2449
RG37	68.0	-6.0	30.0	-999	RG	R	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	68.9091	-7.23156	32.4216
RG38	69.0	-12.0	37.0	-999	RG	R	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	69.2522	-14.2489	39.5539
RG39	65.0	-19.0	44.0	-999	RG	R	grid	Frontal Lobe	Precentral Gyrus	Brodmann area 4_6	Gray Matter	66.1486	-21.7442	47.2557
